,geo_id,geo_code,name,abbreviation,type_id
299,555,postal-31150,สตึก,31150,6
300,556,postal-31220,ปะคำ,31220,6
301,557,postal-31230,นาโพธิ์,31230,6
302,558,postal-31240,หนองหงส์,31240,6
303,559,postal-31250,พลับพลาชัย,31250,6
304,560,postal-31000,ห้วยราช,31000,6
305,561,postal-31110,โนนสุวรรณ,31110,6
306,562,postal-31110,ชำนิ,31110,6
307,563,postal-31120,บ้านใหม่ไชยพจน์,31120,6
308,564,postal-31260,โนนดินแดง,31260,6
309,565,postal-31000,บ้านด่าน,31000,6
310,566,postal-31150,แคนดง,31150,6
311,567,postal-31110,เฉลิมพระเกียรติ,31110,6
312,568,postal-31170,เฉลิมพระเกียรติ,31170,6
313,569,postal-32000,เมืองสุรินทร์,32000,6
314,570,postal-32190,ชุมพลบุรี,32190,6
315,571,postal-32120,ท่าตูม,32120,6
316,572,postal-32180,จอมพระ,32180,6
317,573,postal-32140,ปราสาท,32140,6
318,574,postal-32210,กาบเชิง,32210,6
319,575,postal-32130,รัตนบุรี,32130,6
320,576,postal-32160,สนม,32160,6
321,577,postal-32110,ศีขรภูมิ,32110,6
322,578,postal-32150,สังขะ,32150,6
323,579,postal-32220,ลำดวน,32220,6
324,580,postal-32170,สำโรงทาบ,32170,6
325,581,postal-32230,บัวเชด,32230,6
326,582,postal-32140,พนมดงรัก,32140,6
327,583,postal-32150,ศรีณรงค์,32150,6
328,584,postal-32000,เขวาสินรินทร์,32000,6
329,585,postal-32130,โนนนารายณ์,32130,6
330,586,postal-33000,เมืองศรีสะเกษ,33000,6
331,587,postal-33190,ยางชุมน้อย,33190,6
332,588,postal-33130,กันทรารมย์,33130,6
333,589,postal-33110,กันทรลักษ์,33110,6
334,590,postal-33140,ขุขันธ์,33140,6
335,591,postal-33180,ไพรบึง,33180,6
336,592,postal-33170,ปรางค์กู่,33170,6
337,593,postal-33150,ขุนหาญ,33150,6
338,594,postal-33160,ราษีไศล,33160,6
339,595,postal-33120,อุทุมพรพิสัย,33120,6
340,596,postal-33220,บึงบูรพ์,33220,6
341,597,postal-33210,ห้วยทับทัน,33210,6
342,598,postal-33250,โนนคูณ,33250,6
343,599,postal-33240,ศรีรัตนะ,33240,6
344,600,postal-33130,น้ำเกลี้ยง,33130,6
345,601,postal-33270,วังหิน,33270,6
346,602,postal-33140,ภูสิงห์,33140,6
347,603,postal-33120,เมืองจันทร์,33120,6
348,604,postal-33110,เบญจลักษ์,33110,6
349,605,postal-33230,พยุห์,33230,6
350,606,postal-33120,โพธิ์ศรีสุวรรณ,33120,6
351,607,postal-33160,ศิลาลาด,33160,6
352,608,postal-34000,เมืองอุบลราชธานี,34000,6
353,609,postal-34250,ศรีเมืองใหม่,34250,6
354,610,postal-34220,โขงเจียม,34220,6
355,611,postal-34150,เขื่องใน,34150,6
356,612,postal-34320,เขื่องใน,34320,6
357,613,postal-34170,เขมราฐ,34170,6
358,614,postal-34160,เดชอุดม,34160,6
359,615,postal-34280,นาจะหลวย,34280,6
360,616,postal-34260,น้ำยืน,34260,6
361,617,postal-34230,บุณฑริก,34230,6
362,618,postal-34130,ตระการพืชผล,34130,6
363,619,postal-34270,กุดข้าวปุ้น,34270,6
364,620,postal-34140,ม่วงสามสิบ,34140,6
365,621,postal-34190,วารินชำราบ,34190,6
366,622,postal-34310,วารินชำราบ,34310,6
367,623,postal-34110,พิบูลมังสาหาร,34110,6
368,624,postal-34330,ตาลสุม,34330,6
369,625,postal-34340,โพธิ์ไทร,34340,6
370,626,postal-34360,สำโรง,34360,6
371,627,postal-34000,ดอนมดแดง,34000,6
372,628,postal-34350,สิรินธร,34350,6
373,629,postal-34160,ทุ่งศรีอุดม,34160,6
374,630,postal-34160,นาเยีย,34160,6
375,631,postal-34170,นาตาล,34170,6
376,632,postal-34000,เหล่าเสือโก้ก,34000,6
377,633,postal-34190,สว่างวีระวงศ์,34190,6
378,634,postal-34260,น้ำขุ่น,34260,6
379,635,postal-35000,เมืองยโสธร,35000,6
380,636,postal-35170,ทรายมูล,35170,6
381,637,postal-35140,กุดชุม,35140,6
382,638,postal-35110,คำเขื่อนแก้ว,35110,6
383,639,postal-35180,คำเขื่อนแก้ว,35180,6
384,640,postal-35150,ป่าติ้ว,35150,6
385,641,postal-35130,มหาชนะชัย,35130,6
386,642,postal-35160,ค้อวัง,35160,6
387,643,postal-35120,เลิงนกทา,35120,6
388,644,postal-35120,ไทยเจริญ,35120,6
389,645,postal-36000,เมืองชัยภูมิ,36000,6
390,646,postal-36240,เมืองชัยภูมิ,36240,6
391,647,postal-36170,บ้านเขว้า,36170,6
392,648,postal-36140,คอนสวรรค์,36140,6
393,649,postal-36120,เกษตรสมบูรณ์,36120,6
394,650,postal-36210,หนองบัวแดง,36210,6
395,651,postal-36130,จัตุรัส,36130,6
396,652,postal-36220,จัตุรัส,36220,6
397,653,postal-36160,บำเหน็จณรงค์,36160,6
398,654,postal-36220,บำเหน็จณรงค์,36220,6
399,655,postal-36250,หนองบัวระเหว,36250,6
