ทำเนียบท้องที่,Unnamed: 1,Unnamed: 2,Unnamed: 3
รหัสจังหวัด 2 หลัก // อำเภอ 2 หลัก // ตำบล 2 หลัก,,,
ข้อมูล ณ วันที่ 1 กันยายน 2566,,,
,,,
รหัสจังหวัด 2 หลัก//อำเภอ 4 หลัก//ตำบล 6 หลัก,จังหวัด/อำเภอ/ตำบล ภาษาไทย,จังหวัด/อำเภอ/ตำบล ภาษาอังกฤษ,ปีเดือนวันที่จำหน่าย
10330100,คลองเตย,Khlong Toei,0
10330200,คลองตัน,Khlong Tan,0
10330300,พระโขนง,Phra Khanong,0
10330400,คลองเตยเหนือ*,Khlong Toei Nuea,25561218
10330500,คลองตันเหนือ*,Khlong Tan Nuea,25561218
10330600,พระโขนงเหนือ*,Phra Khanong Nuea,25561218
10340000,เขตสวนหลวง,Suan Luang,0
10340100,สวนหลวง,Suan Luang,0
10340200,อ่อนนุช,On Nut,0
10340300,พัฒนาการ,Phatthanakan,0
10350000,เขตจอมทอง,Chom Thong,0
10350100,บางขุนเทียน,Bang Khun Thian,0
10350200,บางค้อ,Bang Kho,0
10350300,บางมด,Bang Mot,0
10350400,จอมทอง,Chom Thong,0
10360000,เขตดอนเมือง,Don Mueang,0
10360100,ตลาดบางเขน*,Talat Bang Khen,25490101
10360200,สีกัน,Si Kan,0
10360300,ทุ่งสองห้อง*,Thung Song Hong,25490101
10360400,ดอนเมือง,Don Mueang,0
10360500,สนามบิน,Sanam Bin,0
10370000,เขตราชเทวี,Ratchathewi,0
10370100,ทุ่งพญาไท,Thung Phaya Thai,0
10370200,ถนนพญาไท,Thanon Phaya Thai,0
10370300,ถนนเพชรบุรี,Thanon Phetchaburi,0
10370400,มักกะสัน,Makkasan,0
10380000,เขตลาดพร้าว,Lat Phrao,0
10380100,ลาดพร้าว,Lat Phrao,0
10380200,จรเข้บัว,Chorakhe Bua,0
10390000,เขตวัฒนา,Vadhana,0
10390100,คลองเตยเหนือ,Khlong Toei Nuea,0
10390200,คลองตันเหนือ,Khlong Tan Nuea,0
10390300,พระโขนงเหนือ,Phra Khanong Nuea,0
10400000,เขตบางแค,Bang Khae,0
10400100,บางแค,Bang Khae,0
10400200,บางแคเหนือ,Bang Khae Nuea,0
10400300,บางไผ่,Bang Phai,0
10400400,หลักสอง,Lak Song,0
10410000,เขตหลักสี่,Lak Si,0
10410100,ทุ่งสองห้อง,Thung Song Hong,0
10410200,ตลาดบางเขน,Talat Bang Khen,0
10420000,เขตสายไหม,Sai Mai,0
10420100,สายไหม,Sai Mai,0
10420200,ออเงิน,O Ngoen,0
10420300,คลองถนน,Khlong Thanon,0
10430000,เขตคันนายาว,Khan Na Yao,0
10430100,คันนายาว,Khan Na Yao,0
10430200,รามอินทรา,Ram Inthra,0
10440000,เขตสะพานสูง,Saphan Sung,0
10440100,สะพานสูง,Saphan Sung,0
10440200,ราษฎร์พัฒนา,Rat Phatthana,0
10440300,ทับช้าง,Thap Chang,0
10450000,เขตวังทองหลาง,Wang Thonglang,0
10450100,วังทองหลาง,Wang Thonglang,0
10450200,สะพานสอง,Saphan Song,0
10450300,คลองเจ้าคุณสิงห์,Khlong Chao Khun Sing,0
10450400,พลับพลา,Phlapphla,0
10460000,เขตคลองสามวา,Khlong Sam Wa,0
10460100,สามวาตะวันตก,Sam Wa Tawan Tok,0
10460200,สามวาตะวันออก,Sam Wa Tawan Ok,0
10460300,บางชัน,Bang Chan,0
10460400,ทรายกองดิน,Sai Kong Din,0
10460500,ทรายกองดินใต้,Sai Kong Din Tai,0
10470000,เขตบางนา,Bang Na,0
10470100,บางนา*,Bang Na,25650422
10470200,บางนาเหนือ,Bang Na Nuea,0
10470300,บางนาใต้,Bang Na Tai,0
10480000,เขตทวีวัฒนา,Thawi Watthana,0
10480100,ทวีวัฒนา,Thawi Watthana,0
10480200,ศาลาธรรมสพน์,Sala Thammasop,0
10490000,เขตทุ่งครุ,Thung Khru,0
10490100,บางมด,Bang Mot,0
10490200,ทุ่งครุ,Thung Khru,0
